[ 2015-02-10T14:40:13+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/record?time=1423550406&sign=67fba7c4e51047fcf556b8b64b176d2a
[ 2015-02-10T14:42:11+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status
[ 2015-02-10T14:42:44+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status
[ 2015-02-10T14:43:27+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status
[ 2015-02-10T14:44:46+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=2015-04-01
[ 2015-02-10T14:45:50+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=2015-03-09
[ 2015-02-10T14:46:31+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=2015-03-10
[ 2015-02-10T14:57:48+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=2015-03-10
[ 2015-02-10T14:59:56+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=2015-03-10
[ 2015-02-10T15:00:11+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/record?time=1423551610&sign=2bd3b7ff0987095f4c7ed24a5d664810
[ 2015-02-10T15:01:22+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/record?time=1423551680&sign=a66b222b639dd83978a940b3d45e9189&querydate=1423497600
[ 2015-02-10T15:03:39+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=2015-03-10
[ 2015-02-10T15:04:37+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425916800
[ 2015-02-10T15:07:12+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425916800
[ 2015-02-10T15:30:24+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425916800
[ 2015-02-10T15:38:33+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425916800
[ 2015-02-10T15:38:39+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425916800
[ 2015-02-10T15:38:51+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425916800
[ 2015-02-10T15:47:50+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425916800
[ 2015-02-10T15:49:23+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425916800
[ 2015-02-10T15:59:39+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425916800
[ 2015-02-10T16:02:32+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1423497600
[ 2015-02-10T16:05:58+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1423411200
[ 2015-02-10T16:06:42+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425830400
[ 2015-02-10T16:07:08+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425744000
[ 2015-02-10T16:07:37+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425744000
[ 2015-02-10T16:15:02+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1423324800
[ 2015-02-10T16:15:13+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425744000
[ 2015-02-10T16:15:23+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425830400
[ 2015-02-10T16:44:38+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1423497600
[ 2015-02-10T16:45:15+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425916800
[ 2015-02-10T16:47:07+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/status?querydate=1425916800
[ 2015-02-10T16:48:41+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/record?time=1423558119&sign=3c83720eecafe2f7cca1aa0ad28075fe&querydate=1423497600
[ 2015-02-10T16:48:47+08:00 ] ERR:  请求地址：http://121.79.128.49:8080/ad/wangtou/record?time=1423558126&sign=4308ef2a90d96fca7ada0c8257c7d6fb&querydate=1423497600
